,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,https://tripadvisor.com
12,Restaurant Savoy,Helsinki,"'French', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",13,4.5,$$$$,351,"'Excellent food but the place is outdated...', 'Best in Helsinki!', '12/30/2017', '12/27/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d801888-Reviews-Restaurant_Savoy-Helsinki_Uusimaa.html
13,Farang,Helsinki,"'Asian', 'Thai', 'Vietnamese', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",14,4.5,$$$$,568,"'Best restaurant in Helsinki', 'A vegan tasting menu for two', '01/06/2018', '01/03/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d1650581-Reviews-Farang-Helsinki_Uusimaa.html
14,Kappeli,Helsinki,"'Cafe', 'European', 'Soups', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",15,4,$$ - $$$,1488,"'Pretty restaurant and cafeteria', 'Good food but not the friendliest of servi...', '01/09/2018', '01/08/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d850178-Reviews-Kappeli-Helsinki_Uusimaa.html
15,BLINIt Russian Restaurant,Helsinki,"'Russian', 'Eastern European', 'Vegetarian Friendly'",16,4.5,$,317,"'the best visit second time', 'Russian food', '12/23/2017', '12/03/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d2518621-Reviews-BLINIt_Russian_Restaurant-Helsinki_Uusimaa.html
16,Savotta,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",17,4,$$ - $$$,894,"'Very enjoyable stop for a nice meal!', 'Traditional Finnish. Food', '01/08/2018', '12/30/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d783282-Reviews-Savotta-Helsinki_Uusimaa.html
17,Friends & Brgrs Helsinki,Helsinki,"'American', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",18,4,$,429,"'Tasty but tiny', 'Good burger, affordable price !', '01/07/2018', '12/30/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d7928419-Reviews-Friends_Brgrs_Helsinki-Helsinki_Uusimaa.html
18,Pompier Espa,Helsinki,"'European', 'Soups', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",19,4.5,$$ - $$$,134,"'Great service', 'Very good', '01/09/2018', '01/05/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d7199652-Reviews-Pompier_Espa-Helsinki_Uusimaa.html
19,Bryggeri,Helsinki,"'Bar', 'European', 'Pub', 'Scandinavian', 'Vegetarian Friendly'",20,4,$$ - $$$,484,"'Great beer, good food', 'Like beer? Yum!', '12/03/2017', '11/07/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d4179732-Reviews-Bryggeri-Helsinki_Uusimaa.html
20,Gastrobar Emo,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",21,4.5,$$ - $$$,203,"'Excellent food - and super service!', 'Lovely surprise menu and great service', '01/08/2018', '01/06/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d4881224-Reviews-Gastrobar_Emo-Helsinki_Uusimaa.html
21,Kuu Kuu,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",22,4,$$ - $$$,209,"'Very good restaurant at affordable prices', 'Excellent Shrimp Skagen', '12/22/2017', '12/05/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d778302-Reviews-Kuu_Kuu-Helsinki_Uusimaa.html
22,Copas y Tapas,Helsinki,"'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",23,4.5,$$$$,320,"'A gem worth the visit', 'Personal touch', '01/05/2018', '12/30/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d3426598-Reviews-Copas_y_Tapas-Helsinki_Uusimaa.html
23,Gaijin,Helsinki,"'Japanese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",24,4,$$$$,580,"'Nice Jap restaurant in Finland', 'Great Flavours!', '12/15/2017', '10/11/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d2177670-Reviews-Gaijin-Helsinki_Uusimaa.html
24,Juttutupa,Helsinki,"'Bar', 'European', 'Scandinavian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",25,4,$$ - $$$,429,"'A good buffet lunch!', 'Fast and lovely service', '12/22/2017', '12/15/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d797205-Reviews-Juttutupa-Helsinki_Uusimaa.html
25,Finlandia Caviar,Helsinki,"'Seafood', 'European', 'Russian', 'Scandinavian', 'Gluten Free Options'",26,4.5,$$$$,149,"'Fabulous eating experience', 'Excellent service & food', '12/18/2017', '12/15/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d7346196-Reviews-Finlandia_Caviar-Helsinki_Uusimaa.html
26,Sea Horse,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",27,4,$$ - $$$,741,"'Good old Sea Horse', 'Traditional Finnish food', '12/23/2017', '12/03/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d783932-Reviews-Sea_Horse-Helsinki_Uusimaa.html
27,Pizzeria Via Tribunali,Helsinki,"'Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options'",28,4,$$ - $$$,149,"'Fabulous Pizza ""Straight outta Naples""', 'Good pizza', '01/04/2018', '01/01/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d12439871-Reviews-Pizzeria_Via_Tribunali-Helsinki_Uusimaa.html
28,Strindberg,Helsinki,"'European', 'Scandinavian', 'International', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",29,4,$$ - $$$,394,"'Great for a meal or just a drink', 'Really Nice For DInner', '12/26/2017', '11/29/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d794749-Reviews-Strindberg-Helsinki_Uusimaa.html
29,Baskeri & Basso,Helsinki,"'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",30,4.5,$$ - $$$,94,"'Absolutely the highlight of our trip to He...', 'Love Love Love', '12/03/2017', '11/18/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d9738731-Reviews-Baskeri_Basso-Helsinki_Uusimaa.html
30,Restaurant Zetor,Helsinki,"'European', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options'",31,4,$$ - $$$,811,"'Easy, relaxed taste of Finland', 'Nice and casual restaurant', '01/06/2018', '01/01/2018'",https://tripadvisor.com/Restaurant_Review-g189934-d822843-Reviews-Restaurant_Zetor-Helsinki_Uusimaa.html
31,Toca,Helsinki,"'Italian', 'European', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options'",32,4.5,$$ - $$$,117,"'Italian-finnish fusion', 'Interesting, charming Italian-Finnish rest...', '12/26/2017', '12/01/2017'",https://tripadvisor.com/Restaurant_Review-g189934-d4292870-Reviews-Toca-Helsinki_Uusimaa.html
